item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
,2017-04,3810620.4290610603,11569.479594228069,1947.0,324.5,2341.292817679558,0.8235819904616142,7.055043199502097,1.4961357477027504,0.0,5.942208317528541,32.94327961846457,20825.063269610528,1.0,11569.479594228069,1.0,2313.8959188456133,1.0
,2017-05,3986180.6869123443,11888.08789070449,1857.0,309.5,2354.7582417582416,0.8414231009569189,7.697794495264923,1.5290662851445502,0.0,6.401770538882332,33.656924038276756,21398.558203268087,1.0,11888.08789070449,1.0,2377.617578140898,1.0
,2017-06,3859989.15245128,11636.84249941668,1694.0,282.3333333333333,2349.6284153005463,0.8254384979655166,7.8475352504882965,1.5470567892326477,0.0,6.869446575806776,33.01753991862066,20946.316498950026,1.0,11636.84249941668,1.0,2327.368499883336,1.0
,2017-07,3549128.728071707,11020.471000840429,1575.0,262.5,2339.9021739130435,0.7849666483001422,7.76751557979469,1.5360679986642989,0.0,6.99712444497805,31.39866593200569,19836.847801512773,1.0,11020.471000840429,1.0,2204.0942001680855,1.0
,2017-01,3819297.3612076608,11681.894032732318,728.0,121.33333333333333,202.80337078651687,9.600345059541597,18.836975138335962,1.783498530510237,0.0,16.04655773726967,384.01380238166394,21027.409258918175,1.0,11681.894032732318,1.0,2336.3788065464632,1.0
,2017-02,3673688.343213249,11462.49772979708,657.0,109.5,201.68156424581005,9.472438868884876,25.236381837958685,1.80230001884886,0.0,17.446724094059483,378.89755475539505,20632.495913634746,1.0,11462.49772979708,1.0,2292.4995459594156,1.0
,2017-03,3197450.4623680185,10671.23501059995,492.0,82.0,201.11111111111111,8.843564925911561,36.28698468097756,1.8415229396951414,0.0,21.68950205406494,353.7425970364625,19208.22301907991,1.0,10671.23501059995,1.0,2134.2470021199892,1.0
,2017-04,2810790.021652712,9938.00522872882,314.0,52.333333333333336,201.24861878453038,8.230288559453488,45.88370046330228,1.887759091165761,0.0,31.64969818066503,329.21154237813954,17888.409411711877,1.0,9938.00522872882,1.0,1987.6010457457635,1.0
,2017-05,2594768.7750766915,9564.56816874451,287.0,47.833333333333336,201.46703296703296,7.912434462920795,46.749357404028466,1.892020473158069,0.0,33.32602149388331,316.49737851683176,17216.222703740117,1.0,9564.56816874451,1.0,1912.9136337489015,1.0
,2017-06,2827538.1747664367,9936.81686821313,210.0,35.0,200.91803278688525,8.24284471498315,55.573072652417686,1.9200646306587765,0.0,47.31817556291967,329.71378859932605,17886.270362783634,1.0,9936.81686821313,1.0,1987.3633736426254,1.0
,2017-07,3121405.4206486144,10369.84897068094,176.0,29.333333333333332,199.97282608695653,8.642715090842472,65.44960316855106,1.9331282901227909,0.0,58.91959642432352,345.70860363369894,18665.728147225695,1.0,10369.84897068094,1.0,2073.9697941361874,1.0
,2017-01,4517681.720098161,12668.87935659657,835.0,139.16666666666666,150.52808988764045,14.027148649412739,22.440868399722813,1.762929134229111,0.0,15.172310606702478,561.0859459765095,22803.982841873825,1.0,12668.87935659657,1.0,2533.7758713193134,1.0
,2017-02,5287713.858705724,13666.218299145348,723.0,120.5,149.80446927374302,15.204506653906504,31.397049655630294,1.8016154844815289,0.0,18.90209999881791,608.1802661562601,24599.19293846163,1.0,13666.218299145348,1.0,2733.2436598290697,1.0
,2017-03,5543493.782421476,14015.269866567369,579.0,96.5,149.69444444444446,15.604308628577511,34.6759478425739,1.8408960458607628,0.0,24.205992861083537,624.1723451431005,25227.48575982127,1.0,14015.269866567369,1.0,2803.0539733134733,1.0
,2017-04,5745981.374409556,14308.908841293647,430.0,71.66666666666667,150.28729281767957,15.868395095177744,40.183468454523805,1.8836118545770386,0.0,33.27653218905499,634.7358038071098,25756.035914328575,1.0,14308.908841293647,1.0,2861.7817682587292,1.0
,2017-05,5622090.411484371,14116.477412865668,362.0,60.333333333333336,151.52747252747253,15.526862530166264,41.89852673872426,1.8996303326003305,0.0,38.99579395819245,621.0745012066507,25409.659343158204,1.0,14116.477412865668,1.0,2823.295482573133,1.0
,2017-06,5606162.447436544,14096.41045921664,392.0,65.33333333333333,151.56830601092895,15.500613584962599,39.58399473120603,1.8920302552556725,0.0,35.960230763307756,620.0245433985039,25373.538826589953,1.0,14096.41045921664,1.0,2819.282091843327,1.0
,2017-07,5508556.4604508225,13975.72376021433,427.0,71.16666666666667,151.27717391304347,15.397480222019261,35.93436175584659,1.8825715547600501,0.0,32.7300322253263,615.8992088807705,25156.30276838579,1.0,13975.72376021433,1.0,2795.1447520428655,1.0
,2017-01,831606.0252521733,5324.73384160832,8162.0,1360.3333333333333,2820.6573033707864,0.3146272463540722,0.767762834935334,0.5210796716458621,0.0,0.6523810146542907,12.58508985416289,9584.520914894976,1.0,5324.73384160832,1.0,1064.946768321664,1.0
